Actual,Predicted
1.184267837229202591e-01,1.859685480594635010e-01
7.994896808651930087e-02,1.501276493072509766e-01
7.459555972927134349e-02,1.327314823865890503e-01
1.218742180718463963e-01,1.127760410308837891e-01
1.173857574007084459e-01,1.312483400106430054e-01
1.105001559994938098e-01,1.684229969978332520e-01
7.341552395750605697e-02,1.840421855449676514e-01
1.937668162820225248e-01,1.735254824161529541e-01
1.836932648377138655e-01,1.933957040309906006e-01
2.115754713192612435e-01,1.873720884323120117e-01
9.963579524217003325e-02,2.020598202943801880e-01
1.189148613457970960e-01,1.717846244573593140e-01
7.175976695838093278e-02,1.694827377796173096e-01
6.857181691528735357e-02,1.424931287765502930e-01
1.410173638247984584e-01,1.352735161781311035e-01
1.487215764289402387e-01,1.652047038078308105e-01
1.057923693079496630e-01,1.982897818088531494e-01
1.213768731523328093e-01,2.185652554035186768e-01
2.445423345555868266e-01,2.373811751604080200e-01
3.018883661447118172e-01,2.744114696979522705e-01
2.536860672373260073e-01,3.082194328308105469e-01
2.427197662169966463e-01,2.874976396560668945e-01
2.970353918058559195e-01,2.597775459289550781e-01
9.165665283780111139e-02,2.688581645488739014e-01
4.140597246377262231e-01,2.102304548025131226e-01
3.693882657489986343e-01,3.010919690132141113e-01
4.328908714039028105e-01,3.541439175605773926e-01
4.384821403748313529e-01,4.086410105228424072e-01
3.604854827798185113e-01,4.428583085536956787e-01
3.547026896783935790e-01,4.247521460056304932e-01
4.189528572620080382e-01,4.138011336326599121e-01
5.775070354226965463e-01,4.362111985683441162e-01
5.383310834396497491e-01,5.002579689025878906e-01
4.976908985879728853e-01,5.154039859771728516e-01
3.765858661369891891e-01,5.103070735931396484e-01
3.631760879033976153e-01,4.573447108268737793e-01
4.348370036976509923e-01,4.223369956016540527e-01
4.424608997309391611e-01,4.260342717170715332e-01
3.848584729348600852e-01,4.603713154792785645e-01
3.991084860635303322e-01,4.548373818397521973e-01
4.099944705130065259e-01,4.839400649070739746e-01
4.754555648571758830e-01,5.230576992034912109e-01
5.663615666673873505e-01,5.666032433509826660e-01
5.275841084397274727e-01,6.314418315887451172e-01
5.210691989039877292e-01,6.332035064697265625e-01
5.375618978187874930e-01,5.889691710472106934e-01
6.108013431401926319e-01,5.182974338531494141e-01
4.272779787408214069e-01,4.899878203868865967e-01
3.954479038919558320e-01,4.196164608001708984e-01
2.998155807969253850e-01,3.701895177364349365e-01
3.766476481145684119e-01,3.230836689472198486e-01
4.210071080165205260e-01,3.490392863750457764e-01
4.213098397066592504e-01,3.913122117519378662e-01
4.209885734232465815e-01,4.325249791145324707e-01
3.583107571690260507e-01,4.697676301002502441e-01
5.121231685505018838e-01,4.503115415573120117e-01
4.693854855600072540e-01,4.934625625610351562e-01
5.056329718057943623e-01,4.820668101310729980e-01
3.797954398722351854e-01,4.799192547798156738e-01
4.479347829444675355e-01,4.441251754760742188e-01
4.207630692050821075e-01,4.442274868488311768e-01
4.029451468712061946e-01,4.582772254943847656e-01
4.594262307742207341e-01,4.494944810867309570e-01
3.944470358551703804e-01,4.829915761947631836e-01
3.557993197804272256e-01,4.987351000308990479e-01
4.473941906406486702e-01,4.841557145118713379e-01
5.732965936506664306e-01,5.433048009872436523e-01
5.521331772308699648e-01,6.377592086791992188e-01
5.400826025040235123e-01,6.604617238044738770e-01
5.828789783732188923e-01,6.107852458953857422e-01
5.941078527982601720e-01,5.423284769058227539e-01
3.798325090587826303e-01,4.752441942691802979e-01
4.292117546390543659e-01,3.807691335678100586e-01
4.175442281731993610e-01,3.693313598632812500e-01
3.775095067017999462e-01,3.873109221458435059e-01
4.083974063925808196e-01,3.997322618961334229e-01
3.879908191981318311e-01,4.192301034927368164e-01
4.542334555586791112e-01,4.451920390129089355e-01
3.842004948736401637e-01,4.734844565391540527e-01
5.614931468341368692e-01,4.734381735324859619e-01
5.104334314637077874e-01,5.163313150405883789e-01
4.408576574127565095e-01,5.046838521957397461e-01
3.277008763773516797e-01,4.770857095718383789e-01
4.005232933500968429e-01,4.158410429954528809e-01
4.576932463031213594e-01,4.184100627899169922e-01
4.538720309898400807e-01,4.340823292732238770e-01
4.144211492065648095e-01,4.681589901447296143e-01
3.809322282596943055e-01,4.830879569053649902e-01
3.927851006582869786e-01,4.823219180107116699e-01
4.159409858550158212e-01,5.071884393692016602e-01
6.042524535167843602e-01,5.368660688400268555e-01
5.850444366873737145e-01,6.118462681770324707e-01
5.998381312187421877e-01,6.214615106582641602e-01
5.878060910851696796e-01,5.805463194847106934e-01
5.987507684133461794e-01,5.379928350448608398e-01
3.244356988622847382e-01,5.001011490821838379e-01
3.751679697515437617e-01,3.947256803512573242e-01
3.673000349068171744e-01,3.733893036842346191e-01
3.637784621847961475e-01,3.664179742336273193e-01
4.084622774690394031e-01,3.786725103855133057e-01
3.546069276131458281e-01,4.192618727684020996e-01
3.732712630398586917e-01,4.281718432903289795e-01
4.045978147714528461e-01,4.471522271633148193e-01
4.461183928036351887e-01,4.687106013298034668e-01
4.875401196716904195e-01,4.692928194999694824e-01
5.292429545377319577e-01,4.740935862064361572e-01
3.628301088289536125e-01,4.791251122951507568e-01
4.377747367315478755e-01,4.273117780685424805e-01
3.783713652890314805e-01,4.167650640010833740e-01
4.183257701895781722e-01,4.187074899673461914e-01
3.672506093247540626e-01,4.213048815727233887e-01
4.250600057457236680e-01,4.195758104324340820e-01
3.970017206280753719e-01,4.602004289627075195e-01
4.255357269730848380e-01,4.788403511047363281e-01
5.437370064778401790e-01,5.224462747573852539e-01
5.845594481633762385e-01,6.091397404670715332e-01
5.953404032509674870e-01,6.884036660194396973e-01
5.683849264331102269e-01,6.803758144378662109e-01
5.461681272955867250e-01,6.078031063079833984e-01
3.995934745875278082e-01,5.009599924087524414e-01
3.613905887513557680e-01,3.952828049659729004e-01
4.157772636144310141e-01,3.539804220199584961e-01
4.313494110632989376e-01,3.618519306182861328e-01
4.663149212743151750e-01,3.963814377784729004e-01
4.567541602439151305e-01,4.529859125614166260e-01
3.720263561916352657e-01,4.774179458618164062e-01
4.161170644911176275e-01,4.679452180862426758e-01
5.006317207207486852e-01,4.726379811763763428e-01
5.507121917465456207e-01,4.935225248336791992e-01
4.792736910715773568e-01,5.073089003562927246e-01
4.408051427318140369e-01,4.842845797538757324e-01
3.716680207216751519e-01,4.612526297569274902e-01
4.043259740701041771e-01,4.347276389598846436e-01
3.754676123428035694e-01,4.295627474784851074e-01
